latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.744,144.897,324.9,1.5,1.2,2018-10-17,0055,T,48,6.0NRT,304.9,13.1,D
-15.746,144.912,330.8,1.5,1.2,2018-10-17,0055,T,78,6.0NRT,304.4,26.8,D
-15.748,144.926,329.3,1.5,1.2,2018-10-17,0055,T,54,6.0NRT,303.3,23.7,D
-15.773,145.126,325,1.6,1.2,2018-10-17,0055,T,22,6.0NRT,302,17,D
-15.757,144.91,333.7,1.5,1.2,2018-10-17,0055,T,79,6.0NRT,304.7,34.9,D
-15.777,144.893,333.6,1.5,1.2,2018-10-17,0055,T,81,6.0NRT,301.2,37.3,D
-15.779,144.907,326,1.5,1.2,2018-10-17,0055,T,71,6.0NRT,302,20.5,D
-15.825,145.09,330.8,1.6,1.2,2018-10-17,0055,T,72,6.0NRT,305.8,28.6,D
-15.825,145.084,341.5,1.6,1.2,2018-10-17,0055,T,89,6.0NRT,305.7,61.1,D
-15.836,145.083,353.5,1.6,1.2,2018-10-17,0055,T,96,6.0NRT,302.3,108.5,D
-15.838,145.097,331.9,1.6,1.2,2018-10-17,0055,T,80,6.0NRT,304.1,34.6,D
-15.452,141.887,344.7,1,1,2018-10-17,0055,T,89,6.0NRT,310.2,28.9,D
-15.453,141.896,335.9,1,1,2018-10-17,0055,T,66,6.0NRT,311,13.4,D
-15.333,135.765,328,1.6,1.3,2018-10-17,0055,T,0,6.0NRT,292.2,38.8,D
-18.024,143.869,327.2,1.4,1.2,2018-10-17,0055,T,71,6.0NRT,303.9,20.4,D
-16.092,131.266,317.1,3.4,1.7,2018-10-17,0055,T,33,6.0NRT,289.9,40.7,D
-16.479,132.083,321.5,2.9,1.6,2018-10-17,0055,T,63,6.0NRT,295,30,D
-16.484,132.109,328.8,2.9,1.6,2018-10-17,0055,T,79,6.0NRT,296.7,70.7,D
-16.484,132.102,338.6,2.9,1.6,2018-10-17,0055,T,88,6.0NRT,296.9,136.1,D
-16.499,132.099,327.2,2.9,1.6,2018-10-17,0055,T,77,6.0NRT,295.8,63.7,D
-16.487,131.876,320,3,1.6,2018-10-17,0055,T,23,6.0NRT,294.2,26.4,D
-16.487,131.87,320.7,3,1.6,2018-10-17,0055,T,42,6.0NRT,294.1,31.3,D
-14.996,-43.433,310.9,1.1,1,2018-10-17,0140,T,81,6.0NRT,281.5,11.7,N
-14.987,-43.435,304.7,1.1,1,2018-10-17,0140,T,61,6.0NRT,282.3,7.4,N
-14.939,-43.432,307.1,1.1,1,2018-10-17,0140,T,70,6.0NRT,282.4,9.7,N
-14.94,-43.442,300.8,1.1,1,2018-10-17,0140,T,34,6.0NRT,281.9,5.4,N
-14.115,-44.319,300.2,1,1,2018-10-17,0140,T,20,6.0NRT,281,4.1,N
-13.969,-43.46,313.8,1.1,1,2018-10-17,0140,T,88,6.0NRT,290.6,13.7,N
